日期,类型,类别,金额,描述
2024-01-05,收入,主营业务,58000,客户A付款
2024-01-08,支出,人力成本,25000,员工工资
2024-01-10,收入,主营业务,42000,客户B付款
2024-01-12,支出,房租物业,8500,办公室租金
2024-01-15,支出,运营费用,3200,办公用品采购
2024-01-18,收入,主营业务,35000,客户C付款
2024-01-20,支出,营销推广,15000,广告投放
2024-01-22,支出,招待费,5800,客户招待
2024-01-25,收入,主营业务,28000,客户D付款
2024-01-28,支出,设备采购,22000,办公设备更新
2024-02-03,收入,主营业务,65000,客户E付款
2024-02-05,支出,人力成本,25000,员工工资
2024-02-08,支出,房租物业,8500,办公室租金
2024-02-10,收入,主营业务,48000,客户A付款
2024-02-12,支出,运营费用,4100,办公用品采购
2024-02-15,支出,营销推广,18000,广告投放
2024-02-18,支出,招待费,8500,客户招待
2024-02-20,收入,主营业务,52000,客户B付款
2024-02-22,支出,研发费用,35000,产品研发
2024-02-25,收入,主营业务,38000,客户F付款
2024-02-28,支出,设备维护,12000,设备保养
2024-03-02,收入,主营业务,72000,客户C付款
2024-03-05,支出,人力成本,28000,员工工资
2024-03-08,支出,房租物业,8500,办公室租金
2024-03-10,收入,主营业务,55000,客户D付款
2024-03-12,支出,运营费用,3800,办公用品采购
2024-03-15,支出,营销推广,25000,广告投放
2024-03-18,支出,招待费,12000,客户招待
2024-03-20,收入,主营业务,68000,客户A付款
2024-03-22,支出,研发费用,42000,产品研发
2024-03-25,收入,主营业务,45000,客户E付款
2024-03-28,支出,税费,15800,季度税款
